TOTAL RANK   TEST   VAL   FEAT_IMPORTANCE   (FEATURE) 
     0        0     0           0            AltitudeDeltaEndStart
     5        3     1           1            AltitudeGain
     6        1     3           2            AltitudeGainPart
     7        2     2           3            AccTime
    17        4     5           8            UpInclination
    19        5     7           7            Quantity
    19        6     4           9            AltitudeChange
    20        7     8           5            AltitudeDeltaMaxMin
    21        9     6           6            SumRotation
    26       12    10           4            SpeedMean
    27        8     9          10            AltitudeLossPart
    33       10    11          12            AltitudeLoss
    34       11    12          11            DownInclination
