Last reset, Game: 0

(Rating: 120600, Game: 163) | Fuel (liter): 174.3 | Cost (pay): 10778 | Distance (km):   280.65 | Time (s):    6769 | Loaders_waiting (min):   150 | Waiting_time (min):    40 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 060102, Game: 294) | Fuel (liter): 183.0 | Cost (pay): 10905 | Distance (km):   289.30 | Time (s):    6715 | Loaders_waiting (min):   177 | Waiting_time (min):    34 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 510300, Game: 287) | Fuel (liter): 176.1 | Cost (pay): 10774 | Distance (km):   283.99 | Time (s):    6727 | Loaders_waiting (min):   149 | Waiting_time (min):    44 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 070501, Game: 282) | Fuel (liter): 182.4 | Cost (pay): 10949 | Distance (km):   291.38 | Time (s):    6769 | Loaders_waiting (min):   169 | Waiting_time (min):    34 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 001000, Game: 113) | Fuel (liter): 177.4 | Cost (pay): 11567 | Distance (km):   268.93 | Time (s):    7456 | Loaders_waiting (min):   151 | Waiting_time (min):   111 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000010, Game:  32) | Fuel (liter): 245.6 | Cost (pay): 16405 | Distance (km):   327.06 | Time (s):   10694 | Loaders_waiting (min):   123 | Waiting_time (min):   462 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 030200, Game: 289) | Fuel (liter): 179.4 | Cost (pay): 10842 | Distance (km):   286.71 | Time (s):    6727 | Loaders_waiting (min):   160 | Waiting_time (min):    42 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 200000, Game: 196) | Fuel (liter): 174.4 | Cost (pay): 11110 | Distance (km):   279.36 | Time (s):    7081 | Loaders_waiting (min):   147 | Waiting_time (min):    52 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 002000, Game: 114) | Fuel (liter): 185.0 | Cost (pay): 12198 | Distance (km):   270.03 | Time (s):    7904 | Loaders_waiting (min):   164 | Waiting_time (min):   147 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000020, Game:  95) | Fuel (liter): 188.0 | Cost (pay): 12328 | Distance (km):   289.49 | Time (s):    7967 | Loaders_waiting (min):   129 | Waiting_time (min):   146 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 300000, Game: 187) | Fuel (liter): 175.7 | Cost (pay): 11159 | Distance (km):   281.29 | Time (s):    7101 | Loaders_waiting (min):   150 | Waiting_time (min):    50 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
