Last reset, Game: 410

(Rating: 410180, Game: 434) | Fuel (liter): 160.2 | Cost (pay): 10287 | Distance (km):   279.91 | Time (s):    5032 | Loaders_waiting (min):    15 | Waiting_time (min):   136 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 220710, Game: 420) | Fuel (liter): 158.7 | Cost (pay): 10291 | Distance (km):   280.93 | Time (s):    5057 | Loaders_waiting (min):    12 | Waiting_time (min):   126 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 152000, Game: 678) | Fuel (liter): 157.8 | Cost (pay): 10318 | Distance (km):   267.06 | Time (s):    5091 | Loaders_waiting (min):    19 | Waiting_time (min):   163 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000041, Game: 476) | Fuel (liter): 164.1 | Cost (pay): 10451 | Distance (km):   293.07 | Time (s):    5091 | Loaders_waiting (min):    14 | Waiting_time (min):   118 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 001000, Game: 609) | Fuel (liter): 168.4 | Cost (pay): 10578 | Distance (km):   265.46 | Time (s):    5119 | Loaders_waiting (min):    68 | Waiting_time (min):   179 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 330200, Game: 655) | Fuel (liter): 160.0 | Cost (pay): 10293 | Distance (km):   277.48 | Time (s):    5039 | Loaders_waiting (min):    17 | Waiting_time (min):   143 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 090024, Game: 481) | Fuel (liter): 161.6 | Cost (pay): 10366 | Distance (km):   287.79 | Time (s):    5068 | Loaders_waiting (min):    14 | Waiting_time (min):   119 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000002, Game: 436) | Fuel (liter): 172.5 | Cost (pay): 10669 | Distance (km):   294.90 | Time (s):    5122 | Loaders_waiting (min):    52 | Waiting_time (min):   119 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000053, Game: 494) | Fuel (liter): 163.8 | Cost (pay): 10444 | Distance (km):   292.12 | Time (s):    5091 | Loaders_waiting (min):    14 | Waiting_time (min):   119 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 070397, Game: 495) | Fuel (liter): 162.2 | Cost (pay): 10341 | Distance (km):   287.29 | Time (s):    5040 | Loaders_waiting (min):    16 | Waiting_time (min):   123 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 003000, Game: 411) | Fuel (liter): 162.8 | Cost (pay): 10419 | Distance (km):   269.00 | Time (s):    5088 | Loaders_waiting (min):    42 | Waiting_time (min):   161 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000030, Game: 493) | Fuel (liter): 162.1 | Cost (pay): 10409 | Distance (km):   287.23 | Time (s):    5091 | Loaders_waiting (min):    14 | Waiting_time (min):   125 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 740400, Game: 625) | Fuel (liter): 160.4 | Cost (pay): 10317 | Distance (km):   279.85 | Time (s):    5051 | Loaders_waiting (min):    16 | Waiting_time (min):   137 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 004000, Game: 656) | Fuel (liter): 162.5 | Cost (pay): 10572 | Distance (km):   271.09 | Time (s):    5203 | Loaders_waiting (min):    25 | Waiting_time (min):   176 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000508, Game: 448) | Fuel (liter): 164.2 | Cost (pay): 10396 | Distance (km):   290.50 | Time (s):    5051 | Loaders_waiting (min):    17 | Waiting_time (min):   123 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 500000, Game: 616) | Fuel (liter): 160.2 | Cost (pay): 10389 | Distance (km):   277.70 | Time (s):    5106 | Loaders_waiting (min):    18 | Waiting_time (min):   141 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 005000, Game: 649) | Fuel (liter): 165.2 | Cost (pay): 10829 | Distance (km):   271.51 | Time (s):    5350 | Loaders_waiting (min):    29 | Waiting_time (min):   188 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000005, Game: 430) | Fuel (liter): 165.1 | Cost (pay): 10540 | Distance (km):   293.12 | Time (s):    5141 | Loaders_waiting (min):    17 | Waiting_time (min):   120 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 660070, Game: 440) | Fuel (liter): 160.3 | Cost (pay): 10333 | Distance (km):   279.92 | Time (s):    5064 | Loaders_waiting (min):    15 | Waiting_time (min):   137 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 980960, Game: 438) | Fuel (liter): 161.0 | Cost (pay): 10344 | Distance (km):   283.04 | Time (s):    5061 | Loaders_waiting (min):    15 | Waiting_time (min):   131 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 006000, Game: 611) | Fuel (liter): 162.2 | Cost (pay): 10573 | Distance (km):   272.99 | Time (s):    5210 | Loaders_waiting (min):    22 | Waiting_time (min):   169 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000600, Game: 637) | Fuel (liter): 165.2 | Cost (pay): 10421 | Distance (km):   278.34 | Time (s):    5053 | Loaders_waiting (min):    27 | Waiting_time (min):   165 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000006, Game: 429) | Fuel (liter): 168.1 | Cost (pay): 10587 | Distance (km):   297.88 | Time (s):    5130 | Loaders_waiting (min):    19 | Waiting_time (min):   123 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 007000, Game: 608) | Fuel (liter): 161.8 | Cost (pay): 10570 | Distance (km):   273.67 | Time (s):    5213 | Loaders_waiting (min):    22 | Waiting_time (min):   164 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 800000, Game: 622) | Fuel (liter): 160.4 | Cost (pay): 10443 | Distance (km):   274.45 | Time (s):    5142 | Loaders_waiting (min):    20 | Waiting_time (min):   152 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 008000, Game: 650) | Fuel (liter): 173.3 | Cost (pay): 10666 | Distance (km):   273.98 | Time (s):    5108 | Loaders_waiting (min):    89 | Waiting_time (min):   152 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000800, Game: 479) | Fuel (liter): 163.5 | Cost (pay): 10396 | Distance (km):   288.36 | Time (s):    5061 | Loaders_waiting (min):    16 | Waiting_time (min):   128 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 009000, Game: 612) | Fuel (liter): 162.7 | Cost (pay): 10830 | Distance (km):   274.40 | Time (s):    5388 | Loaders_waiting (min):    21 | Waiting_time (min):   170 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000009, Game: 456) | Fuel (liter): 165.6 | Cost (pay): 10538 | Distance (km):   293.02 | Time (s):    5132 | Loaders_waiting (min):    18 | Waiting_time (min):   124 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
