(Rating: 342501, Game: 267) | Fuel (liter):   159 | Distance (km):   264.89 | Time (s):    4944 | Loaders_waiting (min):     8 | Waiting_time (min):   196 | MassL (ton): 2400/2400 | Cost (pay): 10457 | MassL (ton): 2400/2400 | 
(Rating: 136602, Game: 264) | Fuel (liter):   159 | Distance (km):   264.25 | Time (s):    4968 | Loaders_waiting (min):     8 | Waiting_time (min):   197 | MassL (ton): 2400/2400 | Cost (pay): 10488 | MassL (ton): 2400/2400 | 
(Rating: 001006, Game: 268) | Fuel (liter):   163 | Distance (km):   272.90 | Time (s):    4939 | Loaders_waiting (min):    10 | Waiting_time (min):   196 | MassL (ton): 2400/2400 | Cost (pay): 10541 | MassL (ton): 2400/2400 | 
(Rating: 010000, Game: 261) | Fuel (liter):   163 | Distance (km):   261.75 | Time (s):    5156 | Loaders_waiting (min):    15 | Waiting_time (min):   229 | MassL (ton): 2400/2400 | Cost (pay): 10844 | MassL (ton): 2400/2400 | 
(Rating: 000100, Game: 271) | Fuel (liter):   164 | Distance (km):   279.29 | Time (s):    5010 | Loaders_waiting (min):     6 | Waiting_time (min):   186 | MassL (ton): 2400/2400 | Cost (pay): 10671 | MassL (ton): 2400/2400 | 
(Rating: 000010, Game: 284) | Fuel (liter):   170 | Distance (km):   292.77 | Time (s):    5009 | Loaders_waiting (min):    11 | Waiting_time (min):   167 | MassL (ton): 2400/2400 | Cost (pay): 10777 | MassL (ton): 2400/2400 | 
(Rating: 227903, Game: 255) | Fuel (liter):   159 | Distance (km):   263.33 | Time (s):    4968 | Loaders_waiting (min):     8 | Waiting_time (min):   201 | MassL (ton): 2400/2400 | Cost (pay): 10489 | MassL (ton): 2400/2400 | 
(Rating: 473204, Game: 262) | Fuel (liter):   161 | Distance (km):   268.72 | Time (s):    4952 | Loaders_waiting (min):     7 | Waiting_time (min):   196 | MassL (ton): 2400/2400 | Cost (pay): 10505 | MassL (ton): 2400/2400 | 
(Rating: 000020, Game: 289) | Fuel (liter):   174 | Distance (km):   284.73 | Time (s):    5009 | Loaders_waiting (min):    53 | Waiting_time (min):   174 | MassL (ton): 2400/2400 | Cost (pay): 10880 | MassL (ton): 2400/2400 | 
(Rating: 000330, Game: 286) | Fuel (liter):   166 | Distance (km):   284.74 | Time (s):    4986 | Loaders_waiting (min):     7 | Waiting_time (min):   177 | MassL (ton): 2400/2400 | Cost (pay): 10672 | MassL (ton): 2400/2400 | 
(Rating: 709407, Game: 273) | Fuel (liter):   162 | Distance (km):   272.97 | Time (s):    4981 | Loaders_waiting (min):     7 | Waiting_time (min):   187 | MassL (ton): 2400/2400 | Cost (pay): 10569 | MassL (ton): 2400/2400 | 
