Last reset, Game: 0
Current, Game: 110

(Rating: 521600, Game:   4) | Fuel (liter):  622.8 | Cost (pay): 23300 | Distance (km):   299.88 | Time (s):    4180 | Loaders_waiting (s):  4080 | Dumpers_waiting (s):  4134 | MassL (ton): 2400/2400 | 
(Rating: 006130, Game:   3) | Fuel (liter):  777.3 | Cost (pay): 32568 | Distance (km):   313.77 | Time (s):    3377 | Loaders_waiting (s):     0 | Dumpers_waiting (s):  1249 | MassL (ton): 2400/2400 | 
(Rating: 610800, Game:   2) | Fuel (liter):  626.0 | Cost (pay): 22313 | Distance (km):   324.76 | Time (s):    5100 | Loaders_waiting (s):  8667 | Dumpers_waiting (s):   802 | MassL (ton): 2400/2400 | 
(Rating: 160000, Game: 104) | Fuel (liter):  585.3 | Cost (pay): 24919 | Distance (km):   324.25 | Time (s):   16878 | Loaders_waiting (s):  6755 | Dumpers_waiting (s):   139 | MassL (ton): 2400/2400 | 
(Rating: 008010, Game:   1) | Fuel (liter):  784.9 | Cost (pay): 4875760124 | Distance (km):   316.53 | Time (s): 1000000000 | Loaders_waiting (s):     0 | Dumpers_waiting (s):   263 | MassL (ton): 2400/2400 | 
(Rating: 000001, Game:  14) | Fuel (liter): 1031.2 | Cost (pay): 63213 | Distance (km):   375.22 | Time (s):   88548 | Loaders_waiting (s): 125284 | Dumpers_waiting (s):     0 | MassL (ton): 2400/2400 | 
(Rating: 297000, Game: 110) | Fuel (liter):  588.2 | Cost (pay): 25781 | Distance (km):   315.28 | Time (s):   19781 | Loaders_waiting (s): 13524 | Dumpers_waiting (s):   405 | MassL (ton): 2400/2400 | 
(Rating: 000280, Game:  73) | Fuel (liter):  801.9 | Cost (pay): 34427 | Distance (km):   323.47 | Time (s):    3382 | Loaders_waiting (s):     0 | Dumpers_waiting (s):  5239 | MassL (ton): 2400/2400 | 
(Rating: 002000, Game:  19) | Fuel (liter):  687.5 | Cost (pay): 49019 | Distance (km):   300.52 | Time (s):   73598 | Loaders_waiting (s): 56166 | Dumpers_waiting (s):     0 | MassL (ton): 2400/2400 | 
(Rating: 000020, Game:  54) | Fuel (liter):  787.4 | Cost (pay): 5394271262 | Distance (km):   317.86 | Time (s): 1000000000 | Loaders_waiting (s):     0 | Dumpers_waiting (s):   437 | MassL (ton): 2400/2400 | 
(Rating: 000002, Game:  13) | Fuel (liter):  819.2 | Cost (pay): 57335 | Distance (km):   359.59 | Time (s):   85505 | Loaders_waiting (s): 66762 | Dumpers_waiting (s):     0 | MassL (ton): 2400/2400 | 
(Rating: 344000, Game:  88) | Fuel (liter):  594.7 | Cost (pay): 23554 | Distance (km):   312.98 | Time (s):   12045 | Loaders_waiting (s): 13984 | Dumpers_waiting (s):  1900 | MassL (ton): 2400/2400 | 
(Rating: 003500, Game:  71) | Fuel (liter):  670.7 | Cost (pay): 27087 | Distance (km):   301.62 | Time (s):    3796 | Loaders_waiting (s):   597 | Dumpers_waiting (s):  5356 | MassL (ton): 2400/2400 | 
(Rating: 830000, Game: 105) | Fuel (liter):  631.6 | Cost (pay): 23542 | Distance (km):   328.08 | Time (s):    8242 | Loaders_waiting (s): 10240 | Dumpers_waiting (s):  3102 | MassL (ton): 2400/2400 | 
(Rating: 000390, Game:  48) | Fuel (liter):  729.4 | Cost (pay): 29405 | Distance (km):   324.40 | Time (s):    3387 | Loaders_waiting (s):     0 | Dumpers_waiting (s):  2471 | MassL (ton): 2400/2400 | 
(Rating: 000003, Game:  12) | Fuel (liter):  819.2 | Cost (pay): 57487 | Distance (km):   359.59 | Time (s):   85505 | Loaders_waiting (s): 66762 | Dumpers_waiting (s):     0 | MassL (ton): 2400/2400 | 
(Rating: 485000, Game:  87) | Fuel (liter):  598.5 | Cost (pay): 25301 | Distance (km):   313.11 | Time (s):   17608 | Loaders_waiting (s): 17850 | Dumpers_waiting (s):   667 | MassL (ton): 2400/2400 | 
(Rating: 000400, Game: 106) | Fuel (liter):  789.1 | Cost (pay): 37483 | Distance (km):   317.80 | Time (s):    3394 | Loaders_waiting (s):     0 | Dumpers_waiting (s):  2184 | MassL (ton): 2400/2400 | 
