(Rating: 5010, Game:  41) | Distance (km):   211.38 | Time (s):    5713 | Loaders_waiting (min):    33 | Waiting_time (min):    83 | MassL (ton): 2400/2400 | 
(Rating: 1070, Game:  16) | Distance (km):   208.13 | Time (s):    6214 | Loaders_waiting (min):    43 | Waiting_time (min):   123 | MassL (ton): 2400/2400 | 
(Rating: 0100, Game:  27) | Distance (km):   217.26 | Time (s):    5375 | Loaders_waiting (min):    48 | Waiting_time (min):    95 | MassL (ton): 2400/2400 | 
(Rating: 0001, Game:  89) | Distance (km):   258.28 | Time (s):    5605 | Loaders_waiting (min):    58 | Waiting_time (min):    55 | MassL (ton): 2400/2400 | 
(Rating: 2000, Game:   6) | Distance (km):   209.46 | Time (s):    6365 | Loaders_waiting (min):    59 | Waiting_time (min):   145 | MassL (ton): 2400/2400 | 
(Rating: 0200, Game:  36) | Distance (km):   216.37 | Time (s):    5460 | Loaders_waiting (min):    49 | Waiting_time (min):   103 | MassL (ton): 2400/2400 | 
(Rating: 0020, Game:  42) | Distance (km):   219.67 | Time (s):    5713 | Loaders_waiting (min):    34 | Waiting_time (min):    78 | MassL (ton): 2400/2400 | 
(Rating: 0002, Game:  82) | Distance (km):   243.72 | Time (s):    5638 | Loaders_waiting (min):    49 | Waiting_time (min):    59 | MassL (ton): 2400/2400 | 
(Rating: 3000, Game:   8) | Distance (km):   209.75 | Time (s):    6542 | Loaders_waiting (min):    49 | Waiting_time (min):   149 | MassL (ton): 2400/2400 | 
(Rating: 0300, Game:  63) | Distance (km):   233.30 | Time (s):    5462 | Loaders_waiting (min):    91 | Waiting_time (min):    88 | MassL (ton): 2400/2400 | 
(Rating: 0030, Game:  37) | Distance (km):   216.16 | Time (s):    5682 | Loaders_waiting (min):    38 | Waiting_time (min):    83 | MassL (ton): 2400/2400 | 
(Rating: 0003, Game:  75) | Distance (km):   236.68 | Time (s):    5526 | Loaders_waiting (min):    51 | Waiting_time (min):    61 | MassL (ton): 2400/2400 | 
(Rating: 0840, Game:  57) | Distance (km):   227.28 | Time (s):    5517 | Loaders_waiting (min):    41 | Waiting_time (min):    84 | MassL (ton): 2400/2400 | 
(Rating: 4000, Game:  28) | Distance (km):   210.81 | Time (s):    6188 | Loaders_waiting (min):    49 | Waiting_time (min):   128 | MassL (ton): 2400/2400 | 
(Rating: 0400, Game: 101) | Distance (km):   246.59 | Time (s):    5476 | Loaders_waiting (min):    56 | Waiting_time (min):    76 | MassL (ton): 2400/2400 | 
(Rating: 0004, Game:  49) | Distance (km):   233.05 | Time (s):    5610 | Loaders_waiting (min):    43 | Waiting_time (min):    63 | MassL (ton): 2400/2400 | 
(Rating: 0950, Game:  54) | Distance (km):   222.42 | Time (s):    5521 | Loaders_waiting (min):    42 | Waiting_time (min):    75 | MassL (ton): 2400/2400 | 
(Rating: 0500, Game:  40) | Distance (km):   233.31 | Time (s):    5481 | Loaders_waiting (min):    55 | Waiting_time (min):    78 | MassL (ton): 2400/2400 | 
(Rating: 0005, Game:  94) | Distance (km):   265.04 | Time (s):    5689 | Loaders_waiting (min):    67 | Waiting_time (min):    64 | MassL (ton): 2400/2400 | 
(Rating: 9060, Game:  39) | Distance (km):   215.75 | Time (s):    5680 | Loaders_waiting (min):    42 | Waiting_time (min):    88 | MassL (ton): 2400/2400 | 
(Rating: 6000, Game:   5) | Distance (km):   212.13 | Time (s):    6796 | Loaders_waiting (min):    68 | Waiting_time (min):   184 | MassL (ton): 2400/2400 | 
(Rating: 0600, Game:  25) | Distance (km):   224.90 | Time (s):    5496 | Loaders_waiting (min):    52 | Waiting_time (min):   100 | MassL (ton): 2400/2400 | 
(Rating: 0006, Game:  74) | Distance (km):   255.51 | Time (s):    5844 | Loaders_waiting (min):    60 | Waiting_time (min):    64 | MassL (ton): 2400/2400 | 
(Rating: 7000, Game:  24) | Distance (km):   213.54 | Time (s):    5966 | Loaders_waiting (min):    48 | Waiting_time (min):   109 | MassL (ton): 2400/2400 | 
(Rating: 0700, Game:  59) | Distance (km):   243.25 | Time (s):    5499 | Loaders_waiting (min):    50 | Waiting_time (min):    74 | MassL (ton): 2400/2400 | 
(Rating: 0007, Game:  47) | Distance (km):   231.03 | Time (s):    5610 | Loaders_waiting (min):    43 | Waiting_time (min):    65 | MassL (ton): 2400/2400 | 
(Rating: 0089, Game:  80) | Distance (km):   231.92 | Time (s):    5756 | Loaders_waiting (min):    43 | Waiting_time (min):    67 | MassL (ton): 2400/2400 | 
(Rating: 8000, Game:  32) | Distance (km):   214.88 | Time (s):    5725 | Loaders_waiting (min):    59 | Waiting_time (min):   115 | MassL (ton): 2400/2400 | 
(Rating: 0008, Game:  51) | Distance (km):   248.32 | Time (s):    5541 | Loaders_waiting (min):    49 | Waiting_time (min):    66 | MassL (ton): 2400/2400 | 
(Rating: 0090, Game:  65) | Distance (km):   227.50 | Time (s):    5733 | Loaders_waiting (min):    43 | Waiting_time (min):    76 | MassL (ton): 2400/2400 | 
