Last reset, Game: 0
Current, Game: 440

(Rating: 010300, Game: 297) | Fuel (liter):  101.1 | Cost (pay):  8223 | Distance (km):   170.49 | Time (s):    3588 | Loaders_waiting (s):  3897 | Dumpers_waiting (s):  2615 | MassL (ton): 2400/2400 | 
(Rating: 030100, Game:  99) | Fuel (liter):  108.2 | Cost (pay):  8324 | Distance (km):   177.37 | Time (s):    3560 | Loaders_waiting (s):  4825 | Dumpers_waiting (s):  2997 | MassL (ton): 2400/2400 | 
(Rating: 500010, Game: 253) | Fuel (liter):   99.8 | Cost (pay):  8775 | Distance (km):   172.91 | Time (s):    3929 | Loaders_waiting (s):  3051 | Dumpers_waiting (s):  3386 | MassL (ton): 2400/2400 | 
(Rating: 106000, Game: 437) | Fuel (liter):   98.7 | Cost (pay):  8686 | Distance (km):   168.96 | Time (s):    3890 | Loaders_waiting (s):  3422 | Dumpers_waiting (s):  2740 | MassL (ton): 2400/2400 | 
(Rating: 001000, Game: 313) | Fuel (liter):  101.7 | Cost (pay):  8751 | Distance (km):   167.39 | Time (s):    3891 | Loaders_waiting (s):  4108 | Dumpers_waiting (s):  4610 | MassL (ton): 2400/2400 | 
(Rating: 000001, Game:  96) | Fuel (liter):  118.7 | Cost (pay):  9429 | Distance (km):   196.41 | Time (s):    4081 | Loaders_waiting (s):  5284 | Dumpers_waiting (s):  1970 | MassL (ton): 2400/2400 | 
(Rating: 020403, Game: 168) | Fuel (liter):  105.1 | Cost (pay):  8313 | Distance (km):   178.29 | Time (s):    3592 | Loaders_waiting (s):  3989 | Dumpers_waiting (s):  2246 | MassL (ton): 2400/2400 | 
(Rating: 203005, Game: 309) | Fuel (liter):   99.4 | Cost (pay):  8511 | Distance (km):   168.74 | Time (s):    3779 | Loaders_waiting (s):  3704 | Dumpers_waiting (s):  2367 | MassL (ton): 2400/2400 | 
(Rating: 042500, Game: 275) | Fuel (liter):  101.1 | Cost (pay):  8332 | Distance (km):   168.67 | Time (s):    3653 | Loaders_waiting (s):  3982 | Dumpers_waiting (s):  3392 | MassL (ton): 2400/2400 | 
(Rating: 050200, Game: 156) | Fuel (liter):  107.8 | Cost (pay):  8359 | Distance (km):   177.97 | Time (s):    3586 | Loaders_waiting (s):  4481 | Dumpers_waiting (s):  3726 | MassL (ton): 2400/2400 | 
(Rating: 700020, Game: 375) | Fuel (liter):  100.1 | Cost (pay):  8798 | Distance (km):   171.88 | Time (s):    3939 | Loaders_waiting (s):  3150 | Dumpers_waiting (s):  4012 | MassL (ton): 2400/2400 | 
