Game:   1, Fuel (liter):  737.0, Record_fuel (liter): 737.0, Cost (pay): 22677, Record_cost (pay): 22677, Time (s):    7522, Record_time (s):    7522, Distance (km):   409.86, Record_distance (km):   409.86, Loaders_waiting (s): 14282, Record_loaders_waiting (s): 14282, Dumpers_waiting (s):  2388, Record_dumpers_waiting (s):  2388, Dumpers required: 20, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:   2, Fuel (liter):  767.2, Record_fuel (liter): 737.0, Cost (pay): 23422, Record_cost (pay): 22677, Time (s):    8899, Record_time (s):    7522, Distance (km):   431.59, Record_distance (km):   409.86, Loaders_waiting (s): 12496, Record_loaders_waiting (s): 12496, Dumpers_waiting (s):  1634, Record_dumpers_waiting (s):  1634, Dumpers required: 23, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:   3, Fuel (liter):  707.4, Record_fuel (liter): 707.4, Cost (pay): 21675, Record_cost (pay): 21675, Time (s):    7734, Record_time (s):    7522, Distance (km):   403.88, Record_distance (km):   403.88, Loaders_waiting (s):  6793, Record_loaders_waiting (s):  6793, Dumpers_waiting (s):  6249, Record_dumpers_waiting (s):  1634, Dumpers required: 23, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:   4, Fuel (liter):  663.1, Record_fuel (liter): 663.1, Cost (pay): 20539, Record_cost (pay): 20539, Time (s):    8957, Record_time (s):    7522, Distance (km):   373.49, Record_distance (km):   373.49, Loaders_waiting (s):  9021, Record_loaders_waiting (s):  6793, Dumpers_waiting (s):  6088, Record_dumpers_waiting (s):  1634, Dumpers required: 20, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:   5, Fuel (liter):  660.6, Record_fuel (liter): 660.6, Cost (pay): 20369, Record_cost (pay): 20369, Time (s):    9516, Record_time (s):    7522, Distance (km):   376.13, Record_distance (km):   373.49, Loaders_waiting (s):  6835, Record_loaders_waiting (s):  6793, Dumpers_waiting (s):  6023, Record_dumpers_waiting (s):  1634, Dumpers required: 24, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:   6, Fuel (liter):  682.8, Record_fuel (liter): 660.6, Cost (pay): 21562, Record_cost (pay): 20369, Time (s):   12707, Record_time (s):    7522, Distance (km):   362.57, Record_distance (km):   362.57, Loaders_waiting (s): 21545, Record_loaders_waiting (s):  6793, Dumpers_waiting (s):  4687, Record_dumpers_waiting (s):  1634, Dumpers required: 17, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:   7, Fuel (liter):  664.9, Record_fuel (liter): 660.6, Cost (pay): 21038, Record_cost (pay): 20369, Time (s):   13930, Record_time (s):    7522, Distance (km):   347.21, Record_distance (km):   347.21, Loaders_waiting (s): 24982, Record_loaders_waiting (s):  6793, Dumpers_waiting (s):  1910, Record_dumpers_waiting (s):  1634, Dumpers required: 13, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:   8, Fuel (liter):  636.4, Record_fuel (liter): 636.4, Cost (pay): 19299, Record_cost (pay): 19299, Time (s):    6465, Record_time (s):    6465, Distance (km):   372.24, Record_distance (km):   347.21, Loaders_waiting (s):  2274, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2869, Record_dumpers_waiting (s):  1634, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:   9, Fuel (liter):  655.2, Record_fuel (liter): 636.4, Cost (pay): 20055, Record_cost (pay): 19299, Time (s):   10204, Record_time (s):    6465, Distance (km):   373.78, Record_distance (km):   347.21, Loaders_waiting (s):  7451, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2760, Record_dumpers_waiting (s):  1634, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  10, Fuel (liter):  634.5, Record_fuel (liter): 634.5, Cost (pay): 19295, Record_cost (pay): 19295, Time (s):    6957, Record_time (s):    6465, Distance (km):   367.69, Record_distance (km):   347.21, Loaders_waiting (s):  4223, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  2508, Record_dumpers_waiting (s):  1634, Dumpers required: 25, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
Game:  11, Fuel (liter):  650.3, Record_fuel (liter): 634.5, Cost (pay): 20120, Record_cost (pay): 19295, Time (s):   10097, Record_time (s):    6465, Distance (km):   360.37, Record_distance (km):   347.21, Loaders_waiting (s): 13320, Record_loaders_waiting (s):  2274, Dumpers_waiting (s):  1952, Record_dumpers_waiting (s):  1634, Dumpers required: 20, MassL (ton): 2400/2400, Record_mass (ton):  2400, 
