##############Dumper num: 0##############
Time: [00:00:00, 00:07:54], PLAN: P83, L72
Time: [00:07:54, 00:12:45], PLAN: L72, D63
Time: [00:12:45, 00:25:51], PLAN: D63, L15
Time: [00:25:51, 00:37:12], PLAN: L15, D57
Time: [00:37:12, 00:48:11], PLAN: D57, L17
Time: [00:48:11, 00:56:30], PLAN: L17, D57
Time: [00:56:30, 01:07:29], PLAN: D57, L17
Time: [01:07:29, 01:16:08], PLAN: L17, D57
Time: [01:16:08, 01:28:13], PLAN: D57, L8
Time: [01:28:13, 01:37:38], PLAN: L8, D57
Time: [01:37:38, 01:48:06], PLAN: D57, L97
Time: [01:48:06, 01:55:54], PLAN: L97, D57
Time: [01:55:54, 02:07:59], PLAN: D57, L8
Time: [02:07:59, 02:25:47], PLAN: L8, D60
Time: [02:25:47, 02:35:32], PLAN: D60, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 1##############
Time: [00:00:00, 00:11:05], PLAN: P83, L72
Time: [00:11:05, 00:16:56], PLAN: L72, D60
Time: [00:16:56, 00:34:13], PLAN: D60, L97
Time: [00:34:13, 00:42:01], PLAN: L97, D57
Time: [00:42:01, 00:52:29], PLAN: D57, L97
Time: [00:52:29, 01:00:17], PLAN: L97, D57
Time: [01:00:17, 01:12:22], PLAN: D57, L8
Time: [01:12:22, 01:21:47], PLAN: L8, D57
Time: [01:21:47, 01:34:44], PLAN: D57, L97
Time: [01:34:44, 01:44:17], PLAN: L97, D63
Time: [01:44:17, 01:57:23], PLAN: D63, L15
Time: [01:57:23, 02:11:03], PLAN: L15, D60
Time: [02:11:03, 02:27:23], PLAN: D60, L15
Time: [02:27:23, 02:41:03], PLAN: L15, D60
Time: [02:41:03, 02:50:48], PLAN: D60, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 2##############
Time: [00:00:00, 00:14:16], PLAN: P83, L72
Time: [00:14:16, 00:20:07], PLAN: L72, D60
Time: [00:20:07, 00:31:02], PLAN: D60, L32
Time: [00:31:02, 00:37:09], PLAN: L32, D63
Time: [00:37:09, 00:45:56], PLAN: D63, L32
Time: [00:45:56, 00:54:11], PLAN: L32, D60
Time: [00:54:11, 01:10:31], PLAN: D60, L15
Time: [01:10:31, 01:20:57], PLAN: L15, D63
Time: [01:20:57, 01:25:38], PLAN: D63, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 3##############
Time: [00:00:00, 00:17:27], PLAN: P83, L72
Time: [00:17:27, 00:22:18], PLAN: L72, D63
Time: [00:22:18, 00:34:13], PLAN: D63, L32
Time: [00:34:13, 00:40:20], PLAN: L32, D63
Time: [00:40:20, 00:52:18], PLAN: D63, L32
Time: [00:52:18, 01:00:33], PLAN: L32, D60
Time: [01:00:33, 01:10:18], PLAN: D60, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 4##############
Time: [00:00:00, 00:12:01], PLAN: P83, L97
Time: [00:12:01, 00:19:49], PLAN: L97, D57
Time: [00:19:49, 00:31:54], PLAN: D57, L8
Time: [00:31:54, 00:41:19], PLAN: L8, D57
Time: [00:41:19, 00:53:24], PLAN: D57, L8
Time: [00:53:24, 01:02:49], PLAN: L8, D57
Time: [01:02:49, 01:13:17], PLAN: D57, L97
Time: [01:13:17, 01:21:05], PLAN: L97, D57
Time: [01:21:05, 01:31:33], PLAN: D57, L97
Time: [01:31:33, 01:41:06], PLAN: L97, D63
